severity,event_id,market,symbol,event_time,event_type_l2,title,event_text,quality_flags
medium,seed_cn_300620_event_e2cfab102a,CN,300620,2025-11-21,并购/分拆/再融资,光库科技:关于披露重组报告书暨一般风险提示性公告,光库科技:关于披露重组报告书暨一般风险提示性公告 | 300620 光库科技 · 风险提示性公告,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_300620_event_e73e70ffdd,CN,300620,2025-07-15,财报超预期/不及预期,光库科技:2025年半年度业绩预告,光库科技:2025年半年度业绩预告 | 300620 光库科技 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300627_event_a6c241d916,CN,300627,2025-10-10,财报超预期/不及预期,华测导航:2025年前三季度业绩预告,华测导航:2025年前三季度业绩预告 | 300627 华测导航 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300632_event_1f471a90e5,CN,300632,2025-05-16,财报超预期/不及预期,光莆股份:厦门辖区上市公司2024年年报业绩说明会暨投资者网上集体接待日活动,光莆股份:厦门辖区上市公司2024年年报业绩说明会暨投资者网上集体接待日活动 | 300632 光莆股份 · 调研活动,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_300710_event_ff0281a304,CN,300710,2025-12-18,公司指引上调/下调,万隆光电:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,万隆光电:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 300710 万隆光电 · 专项说明/独立意见,只有标题/正文过短 | event_type与正文语义错配
medium,seed_cn_300781_event_fdfa776041,CN,300781,2025-06-30,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广东因赛品牌营销集团股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广东因赛品牌营销集团股份有限公司) | 300781 因赛集团 · 创业板重大资产重组审计报告申报稿,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300782__170442c337,CN,300782,2024-07-01,公司指引上调/下调,中国半年度业绩展望公告,一季预告 | 公告 预期:一致 前值:前期,只有标题/正文过短 | 缺少可定向量化值
medium,seed_cn_300782__2db935cc7a,CN,300782,2024-04-01,公司指引上调/下调,中国上市公司年度经营目标公告,年度指引 | 公告 预期:卖方 前值:上次,只有标题/正文过短 | 缺少可定向量化值
medium,seed_cn_300782__4417f97d77,CN,300782,2024-10-22,公司指引上调/下调,中国上市公司年度业绩指引公告,年度指引 | 公告 预期:卖方 前值:上次,只有标题/正文过短 | 缺少可定向量化值
high,seed_cn_300782__8a8db3b0ed,CN,300782,2024-01-21,公司指引上调/下调,中国投资者关系活动记录表(含业绩指引),半年展望 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值
high,seed_cn_300792_event_102c2b88c8,CN,300792,2026-02-07,公司指引上调/下调,壹网壹创:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,壹网壹创:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 300792 壹网壹创 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_300851_event_0f4c68b472,CN,300851,2026-05-26,公司指引上调/下调,交大思诺:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,交大思诺:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 300851 交大思诺 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_300889_event_260376c5a3,CN,300889,2025-12-03,公司指引上调/下调,爱克股份:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,爱克股份:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 300889 爱克股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_300912_event_62394c678e,CN,300912,2026-02-04,公司指引上调/下调,凯龙高科:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,凯龙高科:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 300912 凯龙高科 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_300926_event_fd948021c4,CN,300926,2025-10-13,财报超预期/不及预期,博俊科技:2025年前三季度业绩预告,博俊科技:2025年前三季度业绩预告 | 300926 博俊科技 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300960_event_1864a80683,CN,300960,2026-05-29,并购/分拆/再融资,通业科技:关于终止重大资产重组的公告,通业科技:关于终止重大资产重组的公告 | 300960 通业科技 · 重组进展公告,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_300970_event_0baf99be7e,CN,300970,2026-01-20,财报超预期/不及预期,华绿生物:2025年度业绩预告,华绿生物:2025年度业绩预告 | 300970 华绿生物 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300990_event_bdaf29e760,CN,300990,2025-09-10,财报超预期/不及预期,同飞股份:关于参加2025年河北辖区上市公司投资者网上集体接待日暨2025年半年报集体业绩说明会的公告,同飞股份:关于参加2025年河北辖区上市公司投资者网上集体接待日暨2025年半年报集体业绩说明会的公告 | 300990 同飞股份 · 调研活动,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_300998_event_b615cb6159,CN,300998,2025-10-01,并购/分拆/再融资,宁波方正:关于筹划重大资产重组暨关联交易的进展公告,宁波方正:关于筹划重大资产重组暨关联交易的进展公告 | 300998 宁波方正 · 重组进展公告,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_301033_event_f716e332df,CN,301033,2025-11-12,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广州迈普再生医学科技股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广州迈普再生医学科技股份有限公司) | 301033 迈普医学 · 创业板重大资产重组审计报告申报稿,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_301187_event_e86a50edc4,CN,301187,2026-04-08,财报超预期/不及预期,欧圣电气:2025年度业绩预告,欧圣电气:2025年度业绩预告 | 301187 欧圣电气 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_301231_event_7d8c238904,CN,301231,2025-01-19,财报超预期/不及预期,荣信文化:2024年年度业绩预告,荣信文化:2024年年度业绩预告 | 301231 荣信文化 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_301309_event_89c56bf4e3,CN,301309,2026-04-08,公司指引上调/下调,万得凯:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,万得凯:董事会关于本次交易符合《上市公司监管指引第9号—上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 301309 万得凯 · 专项说明/独立意见,只有标题/正文过短 | event_type与正文语义错配
high,seed_cn_301316_event_31053ba78f,CN,301316,2025-10-31,公司指引上调/下调,慧博云通:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条不得参与任何上市公司重大资产重组情形的说明,慧博云通:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条不得参与任何上市公司重大资产重组情形的说明 | 301316 慧博云通 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_301316_event_a6400fc145,CN,301316,2025-10-31,并购/分拆/再融资,慧博云通:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条规定的说明,慧博云通:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条规定的说明 | 301316 慧博云通 · 专项说明/独立意见,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_301323_event_834aea4092,CN,301323,2025-04-28,公司指引上调/下调,新莱福:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,新莱福:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 301323 新莱福 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_301486_event_2fa2301f3c,CN,301486,2025-04-22,并购/分拆/再融资,致尚科技:董事会关于本次交易是否构成关联交易、重大资产重组及重组上市的说明,致尚科技:董事会关于本次交易是否构成关联交易、重大资产重组及重组上市的说明 | 301486 致尚科技 · 关联交易,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_301486_event_c8a232df85,CN,301486,2025-04-22,公司指引上调/下调,致尚科技:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条以及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明,致尚科技:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条以及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明 | 301486 致尚科技 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_301486_event_d8ac84466e,CN,301486,2025-04-22,公司指引上调/下调,致尚科技:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,致尚科技:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 301486 致尚科技 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_301505_event_293a141489,CN,301505,2025-07-15,并购/分拆/再融资,苏州规划:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条规定的说明,苏州规划:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条规定的说明 | 301505 苏州规划 · 专项说明/独立意见,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_301517_event_cfe0e89b39,CN,301517,2025-08-26,公司指引上调/下调,陕西华达:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条、《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条不得参与任何上市公司重大资产重组情形的说明,陕西华达:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条、《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条不得参与任何上市公司重大资产重组情形的说明 | 301517 陕西华达 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_301613_event_4403e9d5bd,CN,301613,2026-06-22,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(重庆新铝时代科技股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(重庆新铝时代科技股份有限公司) | 301613 新铝时代 · 创业板重大资产重组审计报告申报稿,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600000_event_418ad7103a,CN,600000,2025-11-06,财报超预期/不及预期,浦发银行:上海浦东发展银行股份有限公司关于参加2025年上海辖区上市公司三季报集体业绩说明会的公告,浦发银行:上海浦东发展银行股份有限公司关于参加2025年上海辖区上市公司三季报集体业绩说明会的公告 | 600000 浦发银行 · 其他,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600030__4baf86eb35,CN,600030,2024-04-01,财报超预期/不及预期,中国半年报业绩综述,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600030__8a39036ce9,CN,600030,2024-01-21,财报超预期/不及预期,中国创业板/科创板业绩预告密集披露,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600030__ac00db7496,CN,600030,2024-07-01,财报超预期/不及预期,中国创业板/科创板业绩预告密集披露,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600030__b415a05fbf,CN,600030,2024-11-26,财报超预期/不及预期,中国三季报业绩快报汇总,创/科板预告 | 公告 预期:无一致 前值:前期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600036__30668c4c8c,CN,600036,2024-04-01,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600036__5d50d35f2e,CN,600036,2024-01-19,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600036__a8a89db9bb,CN,600036,2024-11-21,并购/分拆/再融资,中国上市公司重大资产重组预案公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600036__f2bfe013cc,CN,600036,2024-07-01,并购/分拆/再融资,中国上市公司重大资产重组预案公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600048__0ada455bcf,CN,600048,2024-04-01,财报超预期/不及预期,中国A股年报季上市公司业绩快报汇总,创/科板预告 | 公告 预期:无一致 前值:前期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600048__28ece183d2,CN,600048,2024-07-01,财报超预期/不及预期,中国A股年报季上市公司业绩快报汇总,半年报综述 | 公告 预期:机构 前值:上年同期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600048__b885027eba,CN,600048,2024-01-07,财报超预期/不及预期,中国三季报业绩快报汇总,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600048__dfd235ad03,CN,600048,2024-12-26,财报超预期/不及预期,中国半年报业绩综述,年报快报 | 公告 预期:卖方 前值:上年同期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600095_event_733f5df9cf,CN,600095,2025-03-29,公司指引上调/下调,湘财股份:董事会关于本次交易信息公布前股票价格波动是否达到《上海证券交易所上市公司自律监管指引第6号——重大资产重组》相关标准的说明,湘财股份:董事会关于本次交易信息公布前股票价格波动是否达到《上海证券交易所上市公司自律监管指引第6号——重大资产重组》相关标准的说明 | 600095 湘财股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_600095_event_aa1cb027bc,CN,600095,2025-03-29,公司指引上调/下调,湘财股份:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《上海证券交易所上市公司自律监管指引第6号——重大资产重组》第三十条情形的说明,湘财股份:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《上海证券交易所上市公司自律监管指引第6号——重大资产重组》第三十条情形的说明 | 600095 湘财股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_600095_event_d482c07dff,CN,600095,2025-03-29,公司指引上调/下调,湘财股份:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,湘财股份:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 600095 湘财股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_600114_event_c4306998ce,CN,600114,2025-09-01,财报超预期/不及预期,3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(东睦新材料集团股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易),3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(东睦新材料集团股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易) | 600114 东睦股份 · 沪主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600185_event_f170aa31a5,CN,600185,2025-11-18,并购/分拆/再融资,珠免集团:董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的说明,珠免集团:董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的说明 | 600185 珠免集团 · 专项说明/独立意见,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600186_event_156d2b22c9,CN,600186,2025-04-07,财报超预期/不及预期,莲花控股:莲花控股股份有限公司2025年第一季度业绩预告,莲花控股:莲花控股股份有限公司2025年第一季度业绩预告 | 600186 莲花控股 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600186_event_ffdb7c5e52,CN,600186,2025-04-07,财报超预期/不及预期,莲花控股:莲花控股股份有限公司2024年度业绩快报公告,莲花控股:莲花控股股份有限公司2024年度业绩快报公告 | 600186 莲花控股 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600187_event_f75bc602a9,CN,600187,2026-04-29,财报超预期/不及预期,国中水务:2025年年度业绩预告再次更正公告,国中水务:2025年年度业绩预告再次更正公告 | 600187 *ST国中 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600265_event_036c917445,CN,600265,2025-11-15,公司指引上调/下调,ST景谷:华创证券有限责任公司关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和其他相关规定情形的核查意见,ST景谷:华创证券有限责任公司关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和其他相关规定情形的核查意见 | 600265 *ST景谷 · 保荐/核查意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_600276__0363374554,CN,600276,2024-01-18,并购/分拆/再融资,中国上市公司分拆子公司上市公告,分拆上市 | 公告 预期:市场 前值:前期,模板/占位字段 | 只有标题/正文过短
high,seed_cn_600276__2cc0ea2489,CN,600276,2024-07-01,并购/分拆/再融资,中国上市公司发行股份购买资产公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600276__cf811ac4a0,CN,600276,2024-04-01,并购/分拆/再融资,中国上市公司重大资产重组预案公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_600276__e5f8d726df,CN,600276,2024-11-17,并购/分拆/再融资,中国上市公司分拆子公司上市公告,分拆上市 | 公告 预期:市场 前值:前期,模板/占位字段 | 只有标题/正文过短
medium,seed_cn_600322_event_4568d74b20,CN,600322,2025-01-01,并购/分拆/再融资,津投城开:津投城开关于暂不召开股东会审议本次重组相关事宜的公告,津投城开:津投城开关于暂不召开股东会审议本次重组相关事宜的公告 | 600322 津投城开 · 其他,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600322_event_679132540d,CN,600322,2025-01-01,并购/分拆/再融资,津投城开:华英证券有限责任公司关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的核查意见,津投城开:华英证券有限责任公司关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的核查意见 | 600322 津投城开 · 保荐/核查意见,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600358_event_ffa5ac759a,CN,600358,2025-09-19,财报超预期/不及预期,3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(国旅文化投资集团股份有限公司),3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(国旅文化投资集团股份有限公司) | 600358 国旅联合 · 沪主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600423_event_13835afbdf,CN,600423,2026-04-11,财报超预期/不及预期,柳化股份:柳化股份2025年年度业绩预告更正暨股票可能被实施退市风险警示的风险提示公告,柳化股份:柳化股份2025年年度业绩预告更正暨股票可能被实施退市风险警示的风险提示公告 | 600423 *ST柳化 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600496_event_5b5ab31f31,CN,600496,2025-04-22,财报超预期/不及预期,精工钢构:精工钢构2025年第一季度业绩快报,精工钢构:精工钢构2025年第一季度业绩快报 | 600496 精工钢构 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600499_event_9b1dfb8c09,CN,600499,2026-01-29,公司指引上调/下调,科达制造:科达制造股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号》第十二条及《上海证券交易所上市公司自律监管指引第6号》第三十条不得参与任何上市公司重大资产重组情形的说明,科达制造:科达制造股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号》第十二条及《上海证券交易所上市公司自律监管指引第6号》第三十条不得参与任何上市公司重大资产重组情形的说明 | 600499 科达制造 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_600506_event_15bdfc0b4a,CN,600506,2025-01-16,公司指引上调/下调,统一股份:统一低碳科技(新疆)股份有限公司董事会关于交易相关主体不存在上市公司监管指引第7号第十二条规定不得参与上市公司重大资产重组情形的说明,统一股份:统一低碳科技(新疆)股份有限公司董事会关于交易相关主体不存在上市公司监管指引第7号第十二条规定不得参与上市公司重大资产重组情形的说明 | 600506 统一股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_600508_event_610059cf64,CN,600508,2025-07-12,财报超预期/不及预期,上海能源:上海能源2025年半年度业绩预减公告,上海能源:上海能源2025年半年度业绩预减公告 | 600508 上海能源 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600572_event_0c4d791a7e,CN,600572,2025-11-12,财报超预期/不及预期,康恩贝:关于召开2025年三季报业绩说明会的公告,康恩贝:关于召开2025年三季报业绩说明会的公告 | 600572 康恩贝 · 其他,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_600575_event_7a6454cd01,CN,600575,2025-04-22,公司指引上调/下调,淮河能源:淮河能源(集团)股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,淮河能源:淮河能源(集团)股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 600575 淮河能源 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_600575_event_e4e09f883f,CN,600575,2025-05-22,财报超预期/不及预期,3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(淮河能源(集团)股份有限公司),3-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(申报稿)(淮河能源(集团)股份有限公司) | 600575 淮河能源 · 沪主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600585__188f0d8a0e,CN,600585,2024-01-22,财报超预期/不及预期,中国A股年报季上市公司业绩快报汇总,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600585__35964bec06,CN,600585,2024-12-16,财报超预期/不及预期,中国半年报业绩综述,年报快报 | 公告 预期:卖方 前值:上年同期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600585__528b18ed0f,CN,600585,2024-07-01,并购/分拆/再融资,中国上市公司重大资产重组预案公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_600585__73df967246,CN,600585,2024-01-03,并购/分拆/再融资,中国上市公司重大资产重组预案公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_600585__bd96753177,CN,600585,2024-04-01,财报超预期/不及预期,中国三季报业绩快报汇总,半年报综述 | 公告 预期:机构 前值:上年同期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600585__c0dc3a4b41,CN,600585,2024-07-01,财报超预期/不及预期,中国三季报业绩快报汇总,年报快报 | 公告 预期:卖方 前值:上年同期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_600585__c2dc7743cd,CN,600585,2024-12-30,并购/分拆/再融资,中国上市公司重大资产重组预案公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_600585__cc33fd9ee9,CN,600585,2024-04-01,并购/分拆/再融资,中国上市公司发行股份购买资产公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_600673_event_0db02d6554,CN,600673,2026-06-16,公司指引上调/下调,东阳光:广东东阳光科技控股股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条不得参与任何上市公司重大资产重组情形的说明,东阳光:广东东阳光科技控股股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条不得参与任何上市公司重大资产重组情形的说明 | 600673 东阳光 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_600673_event_625c0abdd9,CN,600673,2026-06-16,公司指引上调/下调,东阳光:广东东阳光科技控股股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,东阳光:广东东阳光科技控股股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 600673 东阳光 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
